enrollment_no,student_name,gender,age,section,course,year_enrollment,year_completion,hometown,category,father_occupation,mother_occupation,marks_10th,marks_12th,attendance,sgpa,cgpa,backlogs,suspension,family_income,fees_status,year_level,department,fees_flag,suspension_flag,age_at_enrollment,sgpa1,sgpa2,sgpa3,sgpa4,sgpa5,year,specialization,sgpa6,sgpa7,enrollment_no.,model_phase,final_phase,red_reason,ml_probability,rule_override,predicted_phase
BBA2025A001,Vikas Rathore,M,19,A,B.B.A.,2025,2028,Banswara,General,Engineer,Homemaker,58.06,51.96,60.44,6.13,6.13,0,No,1600000,Paid,1,BBA,0,0,19,,,,,,,,,,,Yellow,Yellow,,0.22905920171424046,False,Yellow
BBA2025A002,Arjun Sharma,M,19,A,B.B.A.,2025,2028,Karauli,EWS,Laborer,Homemaker,71.96,52.56,46.73,6.07,6.07,0,No,200000,Partial,1,BBA,1,0,19,,,,,,,,,,,Orange,Orange,,0.5361966415382465,False,Orange
BBA2025A003,Nikhil Beniwal,M,19,A,B.B.A.,2025,2028,Pali,General,Laborer,Homemaker,50.69,48.42,72.12,7.87,7.87,0,No,100000,Partial,1,BBA,1,0,19,,,,,,,,,,,Orange,Orange,,0.492934721698764,False,Orange
BBA2025A004,Rajat Dugar,M,19,A,B.B.A.,2025,2028,Banswara,OBC,Laborer,Homemaker,74.19,35.78,90.34,7.0,7.0,3,Yes,200000,Partial,1,BBA,1,1,19,,,,,,,,,,,Yellow,Yellow,,0.24877546984230764,False,Yellow
BBA2025A005,Rajat Dugar,M,19,A,B.B.A.,2025,2028,Sawai Madhopur,General,Farmer,Teacher,19.38,39.12,51.2,5.47,5.47,0,No,500000,Partial,1,BBA,1,0,19,,,,,,,,,,,Orange,Orange,,0.92092356758677,False,Orange
BBA2025A006,Sneha Meena,F,20,A,B.B.A.,2025,2028,Nawalgarh,General,Businessman,Homemaker,29.32,25.21,82.97,8.35,8.35,0,No,3000000,Paid,1,BBA,0,0,20,,,,,,,,,,,Green,Green,,0.01062776465021047,False,Green
BBA2025A007,Meera Rathore,F,18,A,B.B.A.,2025,2028,Bhilwara,General,Doctor,Homemaker,61.78,61.23,69.15,8.38,8.38,2,Yes,2200000,Paid,1,BBA,0,1,18,,,,,,,,,,,Orange,Orange,,0.7311433931555731,False,Orange
BBA2025A008,Yashoda Khichar,F,18,A,B.B.A.,2025,2028,Sikar,General,Teacher,Homemaker,52.43,58.37,25.97,4.57,4.57,1,No,600000,Paid,1,BBA,0,0,18,,,,,,,,,,,Orange,Red,Forced Red due to critical safety threshold: Attendance <30%,0.6990719981036213,True,Red
BBA2025A009,Kavita Singh,F,21,A,B.B.A.,2025,2028,Churu,OBC,Farmer,Homemaker,23.05,45.1,65.45,6.49,6.49,0,No,500000,Partial,1,BBA,1,0,21,,,,,,,,,,,Yellow,Yellow,,0.08456352141278099,False,Yellow
BBA2025A010,Kamal Bishnoi,M,20,A,B.B.A.,2025,2028,Pratapgarh,General,Laborer,Homemaker,83.4,47.4,91.98,8.41,8.41,0,No,300000,Partial,1,BBA,1,0,20,,,,,,,,,,,Green,Green,,0.03555964046124228,False,Green
