enrollment_no,attendance,cgpa,backlogs,marks_10th,marks_12th,fees_pending,scholarship,remarks,father_occupation,mother_occupation,family_income,guardian_education,aadhaar_no,mobile_no,parents_mobile_no,phone,email,gender,age_at_enrollment,category,department,year_of_enrollment,suspension_flag,hostel_flag,fees_flag,scholarship_flag,bus_fees
2023ENG001,68.32,8.29,0,70,51,,,,Engineer,Clerk,,,460379642070.0,9047681822.0,9300557930.0,,,M,21,SC,ME,2023,0,0,0,0,2397
2023ENG002,96.88,5.07,1,75,56,,,,Farmer,Homemaker,,,82965017594.0,9497097765.0,9398843473.0,,,F,18,ST,ME,2023,1,0,0,0,1011
2023ENG003,73.43,9.64,0,96,58,,,,Businessman,Tailor,,,442789954494.0,9490232688.0,8608050111.0,,,F,18,ST,CSE,2022,1,1,0,1,4561
2023ENG004,88.29,6.31,1,56,93,,,,Teacher,Tailor,,,695759432176.0,9636757153.0,7889499967.0,,,F,19,OBC,ME,2022,0,0,0,0,3915
2023ENG005,81.2,9.01,0,93,64,,,,Engineer,Tailor,,,231049591066.0,8905173425.0,9339012126.0,,,M,19,ST,ME,2023,1,1,1,0,2703
2023ENG006,76.37,6.95,0,74,62,,,,Driver,Clerk,,,809623338116.0,9672439440.0,7790766080.0,,,F,20,ST,IT,2022,0,1,1,1,2195
2023ENG007,82.98,4.59,2,93,51,,,,Engineer,Nurse,,,356881959924.0,7748998335.0,7825988702.0,,,F,20,SC,EEE,2022,0,1,0,1,2184
2023ENG008,95.77,4.7,1,60,96,,,,Farmer,Clerk,,,942647010757.0,9320993866.0,7511591221.0,,,F,19,OBC,CE,2023,0,1,0,1,2272
2023ENG009,54.22,8.35,0,96,86,,,,Farmer,Tailor,,,859187726515.0,7233398214.0,8060215863.0,,,F,20,ST,IT,2023,1,0,0,1,1407
2023ENG010,77.74,8.16,0,75,53,,,,Farmer,Nurse,,,830644511213.0,7225419488.0,9384990690.0,,,F,18,ST,CSE,2022,0,0,0,1,3128
2023ENG011,58.71,9.39,1,84,89,,,,Driver,Clerk,,,778595190294.0,9375338963.0,9857173854.0,,,F,19,OBC,ME,2023,0,0,0,1,3356
2023ENG012,79.55,9.78,0,98,71,,,,Driver,Tailor,,,913307838915.0,7845317761.0,9158691554.0,,,F,19,OBC,ME,2022,0,0,1,0,3012
2023ENG013,63.64,9.05,0,92,81,,,,Teacher,Homemaker,,,693467960488.0,7922564325.0,7934599859.0,,,F,18,OBC,CE,2023,1,1,0,1,3527
2023ENG014,59.97,7.41,2,76,57,,,,Engineer,Nurse,,,957797259576.0,7726960955.0,8072526814.0,,,F,21,General,EEE,2022,1,1,1,0,4954
2023ENG015,93.66,7.27,0,55,71,,,,Businessman,Teacher,,,447201342669.0,8885870921.0,9348706119.0,,,F,19,ST,CE,2022,0,0,1,0,4707
2023ENG016,92.69,8.62,0,78,83,,,,Farmer,Teacher,,,393686561916.0,9914414903.0,9511209385.0,,,F,21,SC,IT,2023,1,0,0,1,4458
2023ENG017,88.61,4.43,0,61,65,,,,Driver,Teacher,,,454483670692.0,9170228526.0,7673584120.0,,,F,20,SC,CE,2023,0,1,0,0,4173
2023ENG018,98.76,6.4,1,67,71,,,,Businessman,Tailor,,,791001153750.0,8673111602.0,7569639694.0,,,M,20,General,IT,2023,0,0,1,0,2661
2023ENG019,69.33,7.87,0,60,70,,,,Engineer,Nurse,,,360352391748.0,8665291881.0,8949194525.0,,,F,21,ST,IT,2023,1,1,0,1,2397
2023ENG020,52.78,4.86,0,85,63,,,,Engineer,Teacher,,,797168432746.0,7164198286.0,7066627088.0,,,F,18,ST,EEE,2023,0,0,0,0,1102
2023ENG021,76.2,7.3,2,66,55,,,,Engineer,Clerk,,,348874947402.0,9692243035.0,7887609532.0,,,M,20,OBC,CE,2022,0,0,1,1,2707
2023ENG022,59.48,5.74,3,65,78,,,,Businessman,Teacher,,,166443284063.0,8688772496.0,8177966679.0,,,F,19,SC,CSE,2023,0,1,0,1,1078
2023ENG023,97.79,6.85,0,96,81,,,,Teacher,Nurse,,,656155651142.0,7623521992.0,9984434309.0,,,F,18,SC,CE,2022,0,0,0,0,4085
2023ENG024,50.79,6.93,0,87,92,,,,Businessman,Homemaker,,,251589209523.0,9829420922.0,8104626204.0,,,F,18,ST,CE,2023,1,1,0,1,995
2023ENG025,68.22,7.0,0,78,95,,,,Farmer,Nurse,,,995937561110.0,9995855806.0,9347890845.0,,,F,21,OBC,ECE,2022,0,0,0,1,4264
2023ENG026,71.34,8.01,3,97,58,,,,Teacher,Tailor,,,292858206395.0,7683080854.0,7153171988.0,,,F,19,ST,CSE,2022,1,1,0,0,2488
2023ENG027,69.94,6.27,0,87,69,,,,Businessman,Homemaker,,,932336979496.0,9716661652.0,8650168188.0,,,F,18,General,CE,2023,1,0,0,0,1808
