enrollment_no,aadhaar_no,mobile_no,parents_mobile_no
2023ENG001,460379642070,9047681822,9300557930
2023ENG002,82965017594,9497097765,9398843473
2023ENG003,442789954494,9490232688,8608050111
2023ENG004,695759432176,9636757153,7889499967
2023ENG005,231049591066,8905173425,9339012126
2023ENG006,809623338116,9672439440,7790766080
2023ENG007,356881959924,7748998335,7825988702
2023ENG008,942647010757,9320993866,7511591221
2023ENG009,859187726515,7233398214,8060215863
2023ENG010,830644511213,7225419488,9384990690
2023ENG011,778595190294,9375338963,9857173854
2023ENG012,913307838915,7845317761,9158691554
2023ENG013,693467960488,7922564325,7934599859
2023ENG014,957797259576,7726960955,8072526814
2023ENG015,447201342669,8885870921,9348706119
2023ENG016,393686561916,9914414903,9511209385
2023ENG017,454483670692,9170228526,7673584120
2023ENG018,791001153750,8673111602,7569639694
2023ENG019,360352391748,8665291881,8949194525
2023ENG020,797168432746,7164198286,7066627088
2023ENG021,348874947402,9692243035,7887609532
2023ENG022,166443284063,8688772496,8177966679
2023ENG023,656155651142,7623521992,9984434309
2023ENG024,251589209523,9829420922,8104626204
2023ENG025,995937561110,9995855806,9347890845
2023ENG026,292858206395,7683080854,7153171988
2023ENG027,932336979496,9716661652,8650168188
2023ENG028,88584960495,7656273316,7770163944
2023ENG029,669704177948,9653583138,8441009241
2023ENG030,355969205407,7837452955,7764346842
2023ENG031,252183137127,8359308930,9047161976
2023ENG032,480098419064,9155284161,9321768050
2023ENG033,334505052511,9487862559,7769239162
2023ENG034,225723695978,9816094086,9353734741
2023ENG035,491739457339,7541469688,7836035691
2023ENG036,74724816343,7383459071,9026689434
2023ENG037,175215749998,7092868038,8510396903
2023ENG038,237503404325,8886369100,9852542682
2023ENG039,411168308577,9052432792,8283529136
2023ENG040,553061978649,9366629330,9176400775
2023ENG041,934172947414,8514455311,8776913752
2023ENG042,720384968728,9612226082,7908122574
2023ENG043,115538776771,8537320015,9332809746
2023ENG044,120544806156,7356779940,8863842516
2023ENG045,551345656252,8260977296,9450137394
2023ENG046,888859415687,8854761403,7255119104
2023ENG047,613728519509,8031089855,7581634409
2023ENG048,258274879872,8968711036,7834872456
2023ENG049,117858998427,9184638443,9786825986
2023ENG050,558855149326,7191456871,7903306849
